Date;Living;Dead;Dead prunable;Dead unprunable;Prune queue;Pool;Court;Ruler;Landed;Playable;Independent;Independent landed;Royal Courts
1169.1.31;37198;60772;16255;44517;0;8394;25034;3764;1807;1957;737;282;0;
1169.2.28;37216;60787;16237;44550;0;8410;25034;3768;1811;1957;738;282;0;
1169.3.31;37276;60869;16282;44587;0;8412;25087;3771;1807;1964;737;282;0;
1169.4.30;37263;60915;16271;44644;0;8381;25105;3769;1807;1962;735;281;0;
1169.5.31;37241;61010;16336;44674;0;8384;25084;3767;1806;1961;735;281;0;
1169.6.30;37258;61126;16392;44734;0;8363;25117;3774;1807;1967;736;283;0;
1169.7.31;37244;61215;16442;44773;0;8323;25140;3772;1804;1968;737;283;0;
1169.8.31;37165;61334;16509;44825;0;8318;25076;3768;1803;1965;736;282;0;
1169.9.30;37156;61392;16511;44881;0;8301;25088;3763;1799;1964;735;282;0;
1169.10.31;37144;61463;16546;44917;0;8278;25103;3759;1795;1964;734;282;0;
1169.11.30;37131;61498;16545;44953;0;8332;25043;3754;1794;1960;734;282;0;
1169.12.31;37116;61547;16567;44980;0;8303;25053;3755;1795;1960;735;282;0;
1170.1.31;37134;61574;16562;45012;0;8329;25047;3755;1795;1960;738;282;0;
1170.2.28;37115;61575;16547;45028;0;8347;25009;3754;1795;1959;738;282;0;
1170.3.31;37121;61633;16575;45058;0;8360;25004;3756;1796;1960;739;283;0;
1170.4.30;37126;61653;16568;45085;0;8369;24999;3754;1795;1959;738;282;0;
1170.5.31;37115;61681;16565;45116;0;8360;24996;3753;1796;1957;736;280;0;
1170.6.30;37095;61726;16588;45138;0;8347;24996;3751;1793;1958;736;280;0;
1170.7.31;37117;61750;16591;45159;0;8353;25006;3753;1795;1958;735;280;0;
1170.8.31;37124;61763;16570;45193;0;8350;25014;3754;1795;1959;735;279;0;
1170.9.30;37186;61769;16552;45217;0;8367;25058;3757;1796;1961;735;278;0;
1170.10.31;37243;61794;16542;45252;0;8393;25088;3758;1796;1962;734;277;0;
1170.11.30;37265;61796;16524;45272;0;8381;25120;3757;1795;1962;733;277;0;
1170.12.31;37265;61825;16526;45299;0;8392;25112;3753;1792;1961;730;276;0;
1171.1.31;37360;61889;16565;45324;0;8735;24852;3763;1814;1949;731;275;0;
1171.2.28;37369;61933;16567;45366;0;8742;24870;3744;1794;1950;732;275;0;
1171.3.31;37340;61993;16582;45411;0;8728;24867;3744;1794;1950;733;276;0;
1171.4.30;37345;62044;16598;45446;0;8792;24809;3736;1789;1947;733;276;0;
1171.5.31;37358;62117;16632;45485;0;8799;24815;3737;1790;1947;735;276;0;
1171.6.30;37339;62182;16650;45532;0;8762;24821;3751;1802;1949;735;276;0;
1171.7.31;37370;62219;16650;45569;0;8775;24838;3745;1794;1951;738;282;0;
1171.8.31;37392;62268;16674;45594;0;8824;24818;3744;1795;1949;738;282;0;
1171.9.30;37377;62316;16689;45627;0;8832;24796;3743;1797;1946;737;282;0;
1171.10.31;37361;62343;16689;45654;0;8813;24800;3745;1797;1948;738;281;0;
1171.11.30;37349;62395;16705;45690;0;8777;24818;3749;1799;1950;739;281;0;
1171.12.31;37388;62453;16729;45724;0;8756;24871;3754;1799;1955;739;281;0;
1172.1.31;37356;62506;16747;45759;0;8729;24871;3753;1799;1954;739;281;0;
1172.2.28;37330;62493;16703;45790;0;8716;24860;3751;1799;1952;737;279;0;
1172.3.31;37378;62536;16717;45819;0;8741;24870;3753;1802;1951;738;279;0;
1172.4.30;37387;62582;16711;45871;0;8733;24890;3754;1801;1953;739;281;0;
1172.5.31;37373;62607;16688;45919;0;8724;24890;3755;1804;1951;738;279;0;
1172.6.30;37362;62632;16649;45983;0;8760;24842;3755;1806;1949;741;279;0;
1172.7.31;37325;62683;16674;46009;0;8732;24834;3752;1804;1948;742;280;0;
1172.8.31;37322;62716;16668;46048;0;8730;24831;3755;1806;1949;742;280;0;
1172.9.30;37326;62749;16680;46069;0;8746;24819;3757;1809;1948;744;279;0;
1172.10.31;37309;62768;16656;46112;0;8722;24825;3760;1810;1950;743;279;0;
1172.11.30;37323;62769;16626;46143;0;8733;24829;3755;1809;1946;741;279;0;
1172.12.31;37301;62783;16611;46172;0;8737;24807;3755;1810;1945;741;278;0;
1173.1.31;37322;62825;16612;46213;0;8728;24837;3753;1808;1945;738;277;0;
1173.2.28;37295;62851;16584;46267;0;8728;24807;3753;1809;1944;738;278;0;
1173.3.31;37240;62903;16587;46316;0;8654;24827;3756;1811;1945;739;278;0;
1173.4.30;37209;62960;16569;46391;0;8626;24824;3756;1811;1945;742;278;0;
1173.5.31;37170;63028;16608;46420;0;8614;24796;3758;1813;1945;743;278;0;
1173.6.30;37152;63088;16630;46458;0;8614;24779;3753;1811;1942;741;278;0;
1173.7.31;37104;63186;16685;46501;0;8597;24746;3752;1811;1941;742;279;0;
1173.8.31;37073;63230;16679;46551;0;8558;24759;3752;1810;1942;739;278;0;
1173.9.30;37039;63231;16649;46582;0;8497;24790;3749;1807;1942;738;278;0;
1173.10.31;37029;63275;16660;46615;0;8485;24792;3749;1807;1942;738;278;0;
1173.11.30;37010;63287;16644;46643;0;8457;24800;3751;1809;1942;738;278;0;
1173.12.31;36996;63306;16641;46665;0;8482;24758;3749;1808;1941;737;277;0;
1174.1.31;36976;63348;16654;46694;0;8503;24724;3743;1807;1936;735;275;0;
1174.2.28;36927;63365;16631;46734;0;8508;24677;3735;1804;1931;733;274;0;
1174.3.31;36894;63403;16620;46783;0;8518;24635;3736;1804;1932;733;274;0;
1174.4.30;36898;63427;16601;46826;0;8482;24671;3737;1801;1936;732;274;0;
1174.5.31;36886;63466;16577;46889;0;8437;24703;3739;1799;1940;732;274;0;
1174.6.30;36881;63514;16584;46930;0;8420;24712;3741;1804;1937;734;274;0;
1174.7.31;36881;63501;16531;46970;0;8393;24742;3744;1805;1939;732;273;0;
1174.8.31;36865;63490;16477;47013;0;8389;24729;3745;1809;1936;733;273;0;
1174.9.30;36880;63475;16428;47047;0;8341;24782;3750;1809;1941;732;272;0;
1174.10.31;36860;63511;16429;47082;0;8354;24754;3750;1811;1939;733;272;0;
1174.11.30;36870;63521;16385;47136;0;8347;24768;3750;1809;1941;737;277;0;
1174.12.31;36850;63561;16381;47180;0;8311;24771;3761;1819;1942;738;277;0;
